county,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
Abbeville County,25417,12079,510.99,20.51,490.48,51.8,24.6
Aiken County,160099,72249,1080.6,9.56,1071.03,149.5,67.5
Allendale County,10419,4486,412.42,4.33,408.09,25.5,11
Anderson County,187126,84774,757.44,42.01,715.43,261.6,118.5
Bamberg County,15987,7716,395.56,2.19,393.37,40.6,19.6
Barnwell County,22621,10484,557.26,8.87,548.39,41.2,19.1
Beaufort County,162233,93023,923.4,347.12,576.28,281.5,161.4
Berkeley County,177843,73372,1229.24,130.38,1098.86,161.8,66.8
Calhoun County,15175,7340,392.48,11.33,381.15,39.8,19.3
Charleston County,350209,169984,1358,441.91,916.09,382.3,185.6
Cherokee County,55342,23997,397.18,4.52,392.66,140.9,61.1
Chester County,33140,14701,586.16,5.51,580.66,57.1,25.3
Chesterfield County,46734,21482,805.75,6.67,799.08,58.5,26.9
Clarendon County,34971,17467,695.65,88.71,606.94,57.6,28.8
Colleton County,38892,19901,1133.29,76.79,1056.49,36.8,18.8
Darlington County,68681,30297,566.8,5.65,561.15,122.4,54
Dillon County,32062,13742,406.59,1.72,404.87,79.2,33.9
Dorchester County,136555,55186,575.81,2.57,573.23,238.2,96.3
Edgefield County,26985,10559,506.7,6.29,500.41,53.9,21.1
Fairfield County,23956,11681,709.88,23.6,686.28,34.9,17
Florence County,136885,58666,803.73,3.76,799.96,171.1,73.3
Georgetown County,60158,33672,1034.65,221.1,813.55,73.9,41.4
Greenville County,451225,195462,794.87,9.75,785.12,574.7,249
Greenwood County,69661,31054,462.93,8.2,454.73,153.2,68.3
Hampton County,21090,9140,562.71,2.81,559.9,37.7,16.3
Horry County,269291,185992,1255,121.11,1133.9,237.5,164
Jasper County,24777,10299,699.36,44.04,655.32,37.8,15.7
Kershaw County,61697,27478,740.4,13.83,726.56,84.9,37.8
Lancaster County,76652,32687,555.12,5.96,549.16,139.6,59.5
Laurens County,66537,30709,723.84,10.04,713.8,93.2,43
Lee County,19220,7775,411.23,1.05,410.18,46.9,19
Lexington County,262391,113957,757.73,58.82,698.91,375.4,163
McCormick County,10233,5453,393.87,34.74,359.13,28.5,15.2
Marion County,33062,14953,494.14,4.91,489.23,67.6,30.6
Marlboro County,28933,12072,485.27,5.6,479.67,60.3,25.2
Newberry County,37508,17922,647.29,17.25,630.04,59.5,28.4
Oconee County,74273,38763,673.51,47.18,626.33,118.6,61.9
Orangeburg County,92501,42504,1127.9,21.8,1106.1,83.6,38.4
Pickens County,119224,51244,512.03,15.62,496.41,240.2,103.2
Richland County,384504,161725,771.71,14.64,757.07,507.9,213.6
Saluda County,19875,9289,461.82,9.04,452.78,43.9,20.5
Spartanburg County,284307,122628,819.24,11.32,807.93,351.9,151.8
Sumter County,107456,46011,682.08,17.02,665.07,161.6,69.2
Union County,28961,14153,516.03,1.86,514.17,56.3,27.5
Williamsburg County,34423,15359,937.04,2.88,934.16,36.8,16.4
York County,226073,94196,695.81,15.21,680.59,332.2,138.4
